content,tokenized_text,stemmed_text,filtered_text,tokenized_stemmed_text
plyanan bagus  banyak  promo sipp dech,"['plyanan', 'bagus', 'banyak', 'promo', 'sipp', 'dech']",plyanan bagus banyak promo sipp dech,plyanan bagus banyak promo sipp dech,"['plyanan', 'bagus', 'banyak', 'promo', 'sipp', 'dech']"
sesuai nice,"['sesuai', 'nice']",sesuai nice,sesuai nice,"['sesuai', 'nice']"
setelah update jadi lag dan tidak bisa dibuka aplikasinya dulunya bagus justru setelah update aplikasinya tidak bisa dipakai,"['setelah', 'update', 'jadi', 'lag', 'dan', 'tidak', 'bisa', 'dibuka', 'aplikasinya', 'dulunya', 'bagus', 'justru', 'setelah', 'update', 'aplikasinya', 'tidak', 'bisa', 'dipakai']",telah update jadi lag dan tidak bisa buka aplikasi dulunya bagus justru telah update aplikasi tidak bisa pakai,update lag buka aplikasi bagus justru update aplikasi pakai,"['update', 'lag', 'buka', 'aplikasi', 'bagus', 'justru', 'update', 'aplikasi', 'pakai']"
tolong anak magang jangan di suruh bikin aplikasi ini aplikasi nya amatir sekali  sering bug sering masalah aplikasi nya tidak guna sekali ,"['tolong', 'anak', 'magang', 'jangan', 'di', 'suruh', 'bikin', 'aplikasi', 'ini', 'aplikasi', 'nya', 'amatir', 'sekali', 'sering', 'bug', 'sering', 'masalah', 'aplikasi', 'nya', 'tidak', 'guna', 'sekali']",tolong anak magang jangan di suruh bikin aplikasi ini aplikasi nya amatir sekali sering bug sering masalah aplikasi nya tidak guna sekali,anak magang jangan suruh bikin aplikasi aplikasi amatir sekali sering bug sering masalah aplikasi sekali,"['anak', 'magang', 'jangan', 'suruh', 'bikin', 'aplikasi', 'aplikasi', 'amatir', 'sekali', 'sering', 'bug', 'sering', 'masalah', 'aplikasi', 'sekali']"
sebelumnya ada kendala buat akun namun team customer service pizza hut sangat responsif dan membantu dalam mengarahkan saya mengatasi masalah tersebut terima kasih banyak,"['sebelumnya', 'ada', 'kendala', 'buat', 'akun', 'namun', 'team', 'customer', 'service', 'pizza', 'hut', 'sangat', 'responsif', 'dan', 'membantu', 'dalam', 'mengarahkan', 'saya', 'mengatasi', 'masalah', 'tersebut', 'terima', 'kasih', 'banyak']",belum ada kendala buat akun namun team customer service pizza hut sangat responsif dan bantu dalam arah saya atas masalah sebut terima kasih banyak,kendala akun team customer service pizza hut sangat responsif bantu arah atas masalah sebut terima kasih banyak,"['kendala', 'akun', 'team', 'customer', 'service', 'pizza', 'hut', 'sangat', 'responsif', 'bantu', 'arah', 'atas', 'masalah', 'sebut', 'terima', 'kasih', 'banyak']"
mantap ,['mantap'],mantap,mantap,['mantap']
aplikasinya mudah dimengerti bahkan bagi pemula dan juga banyak reward dan promonya,"['aplikasinya', 'mudah', 'dimengerti', 'bahkan', 'bagi', 'pemula', 'dan', 'juga', 'banyak', 'reward', 'dan', 'promonya']",aplikasi mudah erti bahkan bagi mula dan juga banyak reward dan promonya,aplikasi mudah erti bahkan mula banyak reward promonya,"['aplikasi', 'mudah', 'erti', 'bahkan', 'mula', 'banyak', 'reward', 'promonya']"
the best,"['the', 'best']",the best,the best,"['the', 'best']"
menu bervariasi dengan  promo yang  menarik,"['menu', 'bervariasi', 'dengan', 'promo', 'yang', 'menarik']",menu variasi dengan promo yang tarik,menu variasi promo tarik,"['menu', 'variasi', 'promo', 'tarik']"
oke,['oke'],oke,oke,['oke']
,[],,,[]
membantu,['membantu'],bantu,bantu,['bantu']
tidak bisa pesan banyak tombol tidak dapat digunakan,"['tidak', 'bisa', 'pesan', 'banyak', 'tombol', 'tidak', 'dapat', 'digunakan']",tidak bisa pesan banyak tombol tidak dapat guna,pesan banyak tombol,"['pesan', 'banyak', 'tombol']"
aplikasi ribet tidak friendly silahkan survei ke lapangan cari instal aplikasi pizza hut di hp nya terus infokan bisa tidak dia pakai aplikasi tersebut jika bisa pasti agak lama,"['aplikasi', 'ribet', 'tidak', 'friendly', 'silahkan', 'survei', 'ke', 'lapangan', 'cari', 'instal', 'aplikasi', 'pizza', 'hut', 'di', 'hp', 'nya', 'terus', 'infokan', 'bisa', 'tidak', 'dia', 'pakai', 'aplikasi', 'tersebut', 'jika', 'bisa', 'pasti', 'agak', 'lama']",aplikasi ribet tidak friendly silah survei ke lapang cari instal aplikasi pizza hut di hp nya terus info bisa tidak dia pakai aplikasi sebut jika bisa pasti agak lama,aplikasi ribet friendly silah survei lapang cari instal aplikasi pizza hut hp terus info pakai aplikasi sebut lama,"['aplikasi', 'ribet', 'friendly', 'silah', 'survei', 'lapang', 'cari', 'instal', 'aplikasi', 'pizza', 'hut', 'hp', 'terus', 'info', 'pakai', 'aplikasi', 'sebut', 'lama']"
aplikasi gaje saya sudah bayar pesanan malah di cancel hubungi cs tidak guna,"['aplikasi', 'gaje', 'saya', 'sudah', 'bayar', 'pesanan', 'malah', 'di', 'cancel', 'hubungi', 'cs', 'tidak', 'guna']",aplikasi gaje saya sudah bayar pesan malah di cancel hubung cs tidak guna,aplikasi gaje bayar pesan malah cancel hubung cs,"['aplikasi', 'gaje', 'bayar', 'pesan', 'malah', 'cancel', 'hubung', 'cs']"
enak kalau pesan  tinggal by aplikasi saja  bayar juga tidak perlu ke kasir langsung lewat aplikasi tapi aplikasi ini hanya enak buat dine in saja  kalau mau delivery susah sekali  titik maps tidak sesuai mau di edit maps aplikasi tidak terbaca loading terus dan tombol tombolnya tidak bisa dipencet coba takeaway pun sulit karena tombolnya juga tidak bisa dipencet bingung sekali  kok tombol confirm nya tidak bisa dipencet padahal sudah pilih  store dan waktu ambilnya kapan harus diperbaiki lagi aplikasinya,"['enak', 'kalau', 'pesan', 'tinggal', 'by', 'aplikasi', 'saja', 'bayar', 'juga', 'tidak', 'perlu', 'ke', 'kasir', 'langsung', 'lewat', 'aplikasi', 'tapi', 'aplikasi', 'ini', 'hanya', 'enak', 'buat', 'dine', 'in', 'saja', 'kalau', 'mau', 'delivery', 'susah', 'sekali', 'titik', 'maps', 'tidak', 'sesuai', 'mau', 'di', 'edit', 'maps', 'aplikasi', 'tidak', 'terbaca', 'loading', 'terus', 'dan', 'tombol', 'tombolnya', 'tidak', 'bisa', 'dipencet', 'coba', 'takeaway', 'pun', 'sulit', 'karena', 'tombolnya', 'juga', 'tidak', 'bisa', 'dipencet', 'bingung', 'sekali', 'kok', 'tombol', 'confirm', 'nya', 'tidak', 'bisa', 'dipencet', 'padahal', 'sudah', 'pilih', 'store', 'dan', 'waktu', 'ambilnya', 'kapan', 'harus', 'diperbaiki', 'lagi', 'aplikasinya']",enak kalau pesan tinggal by aplikasi saja bayar juga tidak perlu ke kasir langsung lewat aplikasi tapi aplikasi ini hanya enak buat dine in saja kalau mau delivery susah sekali titik maps tidak sesuai mau di edit maps aplikasi tidak baca loading terus dan tombol tombol tidak bisa pencet coba takeaway pun sulit karena tombol juga tidak bisa pencet bingung sekali kok tombol confirm nya tidak bisa pencet padahal sudah pilih store dan waktu ambil kapan harus baik lagi aplikasi,enak pesan tinggal by aplikasi bayar perlu kasir langsung lewat aplikasi aplikasi enak dine in mau delivery susah sekali titik maps sesuai mau edit maps aplikasi baca loading terus tombol tombol pencet coba takeaway sulit tombol pencet bingung sekali kok tombol confirm pencet padahal pilih store waktu ambil kapan baik aplikasi,"['enak', 'pesan', 'tinggal', 'by', 'aplikasi', 'bayar', 'perlu', 'kasir', 'langsung', 'lewat', 'aplikasi', 'aplikasi', 'enak', 'dine', 'in', 'mau', 'delivery', 'susah', 'sekali', 'titik', 'maps', 'sesuai', 'mau', 'edit', 'maps', 'aplikasi', 'baca', 'loading', 'terus', 'tombol', 'tombol', 'pencet', 'coba', 'takeaway', 'sulit', 'tombol', 'pencet', 'bingung', 'sekali', 'kok', 'tombol', 'confirm', 'pencet', 'padahal', 'pilih', 'store', 'waktu', 'ambil', 'kapan', 'baik', 'aplikasi']"
bagus,['bagus'],bagus,bagus,['bagus']
tidak jelas mau delivery kolom pilih outletnya tidak aktif,"['tidak', 'jelas', 'mau', 'delivery', 'kolom', 'pilih', 'outletnya', 'tidak', 'aktif']",tidak jelas mau delivery kolom pilih outletnya tidak aktif,jelas mau delivery kolom pilih outletnya aktif,"['jelas', 'mau', 'delivery', 'kolom', 'pilih', 'outletnya', 'aktif']"
setelah update malah tidak bisa jalan aplikasinya,"['setelah', 'update', 'malah', 'tidak', 'bisa', 'jalan', 'aplikasinya']",telah update malah tidak bisa jalan aplikasi,update malah jalan aplikasi,"['update', 'malah', 'jalan', 'aplikasi']"
tidak pernak kecewaa,"['tidak', 'pernak', 'kecewaa']",tidak pernak kecewaa,pernak kecewaa,"['pernak', 'kecewaa']"
setelah diupdate aplikasinya jadi sering keluar sendiri,"['setelah', 'diupdate', 'aplikasinya', 'jadi', 'sering', 'keluar', 'sendiri']",telah diupdate aplikasi jadi sering keluar sendiri,diupdate aplikasi sering keluar sendiri,"['diupdate', 'aplikasi', 'sering', 'keluar', 'sendiri']"
tak bisa pesan delivery tak bisa tekan tombol comfirmasi payah,"['tak', 'bisa', 'pesan', 'delivery', 'tak', 'bisa', 'tekan', 'tombol', 'comfirmasi', 'payah']",tak bisa pesan delivery tak bisa tekan tombol comfirmasi payah,tak pesan delivery tak tekan tombol comfirmasi payah,"['tak', 'pesan', 'delivery', 'tak', 'tekan', 'tombol', 'comfirmasi', 'payah']"
tidak bisa pilih  outlet untuk  delivery alamatnya berubahrubah,"['tidak', 'bisa', 'pilih', 'outlet', 'untuk', 'delivery', 'alamatnya', 'berubahrubah']",tidak bisa pilih outlet untuk delivery alamat berubahrubah,pilih outlet delivery alamat berubahrubah,"['pilih', 'outlet', 'delivery', 'alamat', 'berubahrubah']"
aplikasi kurang bagus registrasi kode otp lama tidak masuk,"['aplikasi', 'kurang', 'bagus', 'registrasi', 'kode', 'otp', 'lama', 'tidak', 'masuk']",aplikasi kurang bagus registrasi kode otp lama tidak masuk,aplikasi kurang bagus registrasi kode otp lama masuk,"['aplikasi', 'kurang', 'bagus', 'registrasi', 'kode', 'otp', 'lama', 'masuk']"
ngebug di map saat mau delivery jadi tidak bisa memantau drivernya lagi tambahkan fitur chat ke driver nya agar bisa komunikasi dengan drivernya,"['ngebug', 'di', 'map', 'saat', 'mau', 'delivery', 'jadi', 'tidak', 'bisa', 'memantau', 'drivernya', 'lagi', 'tambahkan', 'fitur', 'chat', 'ke', 'driver', 'nya', 'agar', 'bisa', 'komunikasi', 'dengan', 'drivernya']",ngebug di map saat mau delivery jadi tidak bisa pantau drivernya lagi tambah fitur chat ke driver nya agar bisa komunikasi dengan drivernya,ngebug map mau delivery pantau drivernya tambah fitur chat driver komunikasi drivernya,"['ngebug', 'map', 'mau', 'delivery', 'pantau', 'drivernya', 'tambah', 'fitur', 'chat', 'driver', 'komunikasi', 'drivernya']"
tidak tersedia diarea saya,"['tidak', 'tersedia', 'diarea', 'saya']",tidak sedia area saya,sedia area,"['sedia', 'area']"
saya suka si sama makanan dari sini tapi dari pengiriman masih suka error,"['saya', 'suka', 'si', 'sama', 'makanan', 'dari', 'sini', 'tapi', 'dari', 'pengiriman', 'masih', 'suka', 'error']",saya suka si sama makan dari sini tapi dari kirim masih suka error,suka si makan sini kirim suka error,"['suka', 'si', 'makan', 'sini', 'kirim', 'suka', 'error']"
agak susahh pilih menunya tidak bisa beli dua ya apa saya yang  tidak tahu ya,"['agak', 'susahh', 'pilih', 'menunya', 'tidak', 'bisa', 'beli', 'dua', 'ya', 'apa', 'saya', 'yang', 'tidak', 'tahu', 'ya']",agak susahh pilih menu tidak bisa beli dua ya apa saya yang tidak tahu ya,susahh pilih menu beli apa tahu,"['susahh', 'pilih', 'menu', 'beli', 'apa', 'tahu']"
tidak sesimpel aplikasi sebelah tidak ada daftar menu harga,"['tidak', 'sesimpel', 'aplikasi', 'sebelah', 'tidak', 'ada', 'daftar', 'menu', 'harga']",tidak simpel aplikasi belah tidak ada daftar menu harga,simpel aplikasi belah daftar menu harga,"['simpel', 'aplikasi', 'belah', 'daftar', 'menu', 'harga']"
maps nya tidak mau kebuka padahal koneksi internet lancar saja  lokasi juga sudah aktif dan sudah dikasih ijin untuk aplikasi akses lokasi jadi bingung mau mantau delivery tapi tidak bisa,"['maps', 'nya', 'tidak', 'mau', 'kebuka', 'padahal', 'koneksi', 'internet', 'lancar', 'saja', 'lokasi', 'juga', 'sudah', 'aktif', 'dan', 'sudah', 'dikasih', 'ijin', 'untuk', 'aplikasi', 'akses', 'lokasi', 'jadi', 'bingung', 'mau', 'mantau', 'delivery', 'tapi', 'tidak', 'bisa']",maps nya tidak mau buka padahal koneksi internet lancar saja lokasi juga sudah aktif dan sudah kasih ijin untuk aplikasi akses lokasi jadi bingung mau mantau delivery tapi tidak bisa,maps mau buka padahal koneksi internet lancar lokasi aktif kasih ijin aplikasi akses lokasi bingung mau mantau delivery,"['maps', 'mau', 'buka', 'padahal', 'koneksi', 'internet', 'lancar', 'lokasi', 'aktif', 'kasih', 'ijin', 'aplikasi', 'akses', 'lokasi', 'bingung', 'mau', 'mantau', 'delivery']"
setelah di update aplikasi tidak bisa dipakai untuk delivery ataupun dine in tidak bisa memilih outlet untuk  memesan,"['setelah', 'di', 'update', 'aplikasi', 'tidak', 'bisa', 'dipakai', 'untuk', 'delivery', 'ataupun', 'dine', 'in', 'tidak', 'bisa', 'memilih', 'outlet', 'untuk', 'memesan']",telah di update aplikasi tidak bisa pakai untuk delivery atau dine in tidak bisa pilih outlet untuk mes,update aplikasi pakai delivery dine in pilih outlet mes,"['update', 'aplikasi', 'pakai', 'delivery', 'dine', 'in', 'pilih', 'outlet', 'mes']"
mantap,['mantap'],mantap,mantap,['mantap']
tiap di update lemot terus apknya,"['tiap', 'di', 'update', 'lemot', 'terus', 'apknya']",tiap di update lot terus apknya,tiap update lot terus apknya,"['tiap', 'update', 'lot', 'terus', 'apknya']"
aplikasi tidak bisa dipakai  kasusnya selalu sama langsung ngefreeze saat mau pesan delivery,"['aplikasi', 'tidak', 'bisa', 'dipakai', 'kasusnya', 'selalu', 'sama', 'langsung', 'ngefreeze', 'saat', 'mau', 'pesan', 'delivery']",aplikasi tidak bisa pakai kasus selalu sama langsung ngefreeze saat mau pesan delivery,aplikasi pakai kasus selalu langsung ngefreeze mau pesan delivery,"['aplikasi', 'pakai', 'kasus', 'selalu', 'langsung', 'ngefreeze', 'mau', 'pesan', 'delivery']"
bagian delivery buat pilih restonya tidak bisa diklik,"['bagian', 'delivery', 'buat', 'pilih', 'restonya', 'tidak', 'bisa', 'diklik']",bagi delivery buat pilih restonya tidak bisa klik,delivery pilih restonya klik,"['delivery', 'pilih', 'restonya', 'klik']"
pintar  juga ini aplikasi biar tidak bisa ambil reward nya crash bolak balik dan disuruh login berkalilicik benar ,"['pintar', 'juga', 'ini', 'aplikasi', 'biar', 'tidak', 'bisa', 'ambil', 'reward', 'nya', 'crash', 'bolak', 'balik', 'dan', 'disuruh', 'login', 'berkalilicik', 'benar']",pintar juga ini aplikasi biar tidak bisa ambil reward nya crash bolak balik dan suruh login berkalilicik benar,pintar aplikasi biar ambil reward crash bolak balik suruh login berkalilicik benar,"['pintar', 'aplikasi', 'biar', 'ambil', 'reward', 'crash', 'bolak', 'balik', 'suruh', 'login', 'berkalilicik', 'benar']"
habis di update jadi malah tidak bisa login,"['habis', 'di', 'update', 'jadi', 'malah', 'tidak', 'bisa', 'login']",habis di update jadi malah tidak bisa login,habis update malah login,"['habis', 'update', 'malah', 'login']"
saya baru download aplikasi ini mau daftar pengguna baru tapi loading lama sekali  sudah berkali di coba selalu error saya uninstall lagi saja ,"['saya', 'baru', 'download', 'aplikasi', 'ini', 'mau', 'daftar', 'pengguna', 'baru', 'tapi', 'loading', 'lama', 'sekali', 'sudah', 'berkali', 'di', 'coba', 'selalu', 'error', 'saya', 'uninstall', 'lagi', 'saja']",saya baru download aplikasi ini mau daftar guna baru tapi loading lama sekali sudah kali di coba selalu error saya uninstall lagi saja,baru download aplikasi mau daftar baru loading lama sekali kali coba selalu error uninstall,"['baru', 'download', 'aplikasi', 'mau', 'daftar', 'baru', 'loading', 'lama', 'sekali', 'kali', 'coba', 'selalu', 'error', 'uninstall']"
