,content
0,kacauu pesanan di cancel tapi saldo ga di refund
1,Bagus
2,Baik sekali
3,"JANGAN PAKAI APLIKASI INI BUAT PESAN, NOMINAL KECIL AJA REFFUND-NYA 7X24 JAM APALAGI NOMINAL BESAR. GA WORTH IT DAH MENDINGAN CARI TEMPAT LAIN AJA DI KK / JJ LEBIH OKE DAN CEPET KETIMBANG SINI."
4,Mantap
5,Setelah ku update knp gabisa d buka ya ? Pas d buka malah masuk ke pengaturan aplikasi tomoro?
6,Bagus pelayanannya dan enak
7,"Suka sama aplikasinya, cocok buat orang introvert kayak aku. mudah dan gak perlu harus nunggu di sana. Tinggal pick up aja."
8,"Voucher ga bisa digunain, ga da keterangan minimal pembelian berapa anjir. pas checkout keterangan do not mett min. Item/ spend amount, tolol sih yg bikin."
9,Aplikasi suka gak jelas
10,Tolong perbaiki kenapa ga bisa bayar pake gopay di app? Kasi bintang 5 kalo udah bisa kepake
11,"Tadi aku pesan minuman, udh di pesan terus di pickup masa ga nyampe ke rumah minumannya.. hadehh rugi bgt rasanya :( tolong dong buat tomoro coffe jangan begini bikin pelanggan rugi tau ga"
12,Best
13,Aplikasi sudah saya install tp tidak muncul error kah
14,kok apknya jadi ga bisa dibuka ya..
15,Masukkm alamat nya gmnasi ga jelas gabisa di simpan alamat nya trs masa alamatnya yg terdekat sm rumah doang ga bisa di rumah nya langsung gembel bgt
16,"stock event JJK kurang banyak, jam 2 sore semua sudah habis, hebat juga"
17,Pelayanan yg bagus..
18,kecewa beli jjk series ga dapet cup holder nya
19,Menarik
20,"Biasanya ada weekly voucher beli 3 potongan 15rb atau 2 potongan 5rb, tapi sudah gak ada.. sayang sekali menurut saya yg voucher 15rb nya lebih worth it daripada promo yg lain"
21,Cukup satu bintang aja
22,Pelayanan cepat
23,Kopinya mantap Arabika speck
24,Rasa enak sih pelayan baik cepat pembuatan ya
25,tiba tiba aplikasinya tidak bisa diakses
26,Lumayan enak
27,Mantaap
28,"Minus: aplikasi lemot, sering error Plus: promo pengguna baru"
29,"toppp bangettt kopinya, apk nya juga bagus"
30,Bagus
31,Pemesanan jadi lebih gampang dan hemat waktu
